codice;produttore;nome;annata;tipologia;formato_cl;regione;nazione;zona_produzione;esclusiva;vendibile_milano;disponibilita;prezzo_listino;no_sconto;max_per_cliente;linea;stili;in_inventario
TERRA-DONATA-AZ-AGR-FRANCIACORTA-BDB-SA-75;TERRA DONATA AZ. AGR.;FRANCIACORTA BDB;SA;bollicine;75;Lombardia;Italia;Franciacorta;Esclusa Bologna e provincia;SI;disponibile;17,60;NO;;;;SI
TERRA-DONATA-AZ-AGR-FRANCIACORTA-BDB-MAGNUM-SA-150;TERRA DONATA AZ. AGR.;FRANCIACORTA BDB MAGNUM;SA;bollicine;150;Lombardia;Italia;Franciacorta;Esclusa Bologna e provincia;SI;disponibile;35,20;NO;;;;SI
TERRA-DONATA-AZ-AGR-FRANCIACORTA-BDN-SA-75;TERRA DONATA AZ. AGR.;FRANCIACORTA BDN;SA;bollicine;75;Lombardia;Italia;Franciacorta;Esclusa Bologna e provincia;SI;disponibile;18,30;NO;;;;SI
TERRA-DONATA-AZ-AGR-FRANCIACORTA-BDN-MAGNUM-SA-150;TERRA DONATA AZ. AGR.;FRANCIACORTA BDN MAGNUM;SA;bollicine;150;Lombardia;Italia;Franciacorta;Esclusa Bologna e provincia;SI;disponibile;36,60;NO;;;;SI
TERRA-DONATA-AZ-AGR-SEBINO-ROSSO-2019-75;TERRA DONATA AZ. AGR.;SEBINO ROSSO;2019;rosso;75;Lombardia;Italia;Franciacorta;Esclusa Bologna e provincia;SI;in_esaurimento;9,80;NO;;;;SI
TERRA-DONATA-AZ-AGR-SEBINO-ROSSO-2022-75;TERRA DONATA AZ. AGR.;SEBINO ROSSO;2022;rosso;75;Lombardia;Italia;Franciacorta;Esclusa Bologna e provincia;SI;in_arrivo;9,80;NO;;;;NO
LORENZO-PASINI-AGR-LA-TO-FIBONACCI-SA-75;LORENZO PASINI - AGR. LA TORRE;FIBONACCI;SA;bollicine;75;Lombardia;Italia;Calvagese della Riviera (BS);Esclusiva Lombardia (tranne Crema/Cremona/Brescia), Veneto, Trentino Alto Adige, Campania, Umbria, Puglia;SI;disponibile;15,50;NO;;;;SI
LORENZO-PASINI-AGR-LA-TO-REESLENG-2021-75;LORENZO PASINI - AGR. LA TORRE;REESLENG;2021;bianco;75;Lombardia;Italia;Calvagese della Riviera (BS);Esclusiva Lombardia (tranne Crema/Cremona/Brescia), Veneto, Trentino Alto Adige, Campania, Umbria, Puglia;SI;disponibile;14,20;NO;;;;SI
LORENZO-PASINI-AGR-LA-TO-SPIGULI-2022-75;LORENZO PASINI - AGR. LA TORRE;SPIGULÌ;2022;rosso;75;Lombardia;Italia;Calvagese della Riviera (BS);Esclusiva Lombardia (tranne Crema/Cremona/Brescia), Veneto, Trentino Alto Adige, Campania, Umbria, Puglia;SI;disponibile;11,50;NO;;;;SI
LORENZO-PASINI-AGR-LA-TO-HUNA-2023-75;LORENZO PASINI - AGR. LA TORRE;HUNA;2023;rosso;75;Lombardia;Italia;Calvagese della Riviera (BS);Esclusiva Lombardia (tranne Crema/Cremona/Brescia), Veneto, Trentino Alto Adige, Campania, Umbria, Puglia;SI;disponibile;15,70;NO;;;;SI
LORENZO-PASINI-AGR-LA-TO-IL-TORRIONE-NV-75;LORENZO PASINI - AGR. LA TORRE;IL TORRIONE;;rosso;75;Lombardia;Italia;Calvagese della Riviera (BS);Esclusiva Lombardia (tranne Crema/Cremona/Brescia), Veneto, Trentino Alto Adige, Campania, Umbria, Puglia;SI;disponibile;18,20;NO;;;;SI
LORENZO-PASINI-AGR-LA-TO-EL-CUNTI-2021-22-75;LORENZO PASINI - AGR. LA TORRE;EL CUNTÌ;2021-22;rosso;75;Lombardia;Italia;Calvagese della Riviera (BS);Esclusiva Lombardia (tranne Crema/Cremona/Brescia), Veneto, Trentino Alto Adige, Campania, Umbria, Puglia;SI;disponibile;18,20;NO;;;;SI
WEINGUT-DANIEL-SIGMUND-SILVANER-2024-75;WEINGUT DANIEL SIGMUND;SILVANER;2024;bianco;75;Trentino-Alto Adige;Italia;Alto Adige, Valle Isarco;Escluse Bolzano e provincia;SI;disponibile;19,40;NO;;;;SI
WEINGUT-DANIEL-SIGMUND-RIESLING-2024-75;WEINGUT DANIEL SIGMUND;RIESLING;2024;bianco;75;Trentino-Alto Adige;Italia;Alto Adige, Valle Isarco;Escluse Bolzano e provincia;SI;disponibile;22,10;NO;;;;SI
WEINGUT-DANIEL-SIGMUND-PINOT-NOIR-2024-75;WEINGUT DANIEL SIGMUND;PINOT NOIR;2024;rosso;75;Trentino-Alto Adige;Italia;Alto Adige, Valle Isarco;Escluse Bolzano e provincia;SI;disponibile;25,60;NO;;;;SI
WEINGUT-DANIEL-SIGMUND-PORTUGIESER-2022-75;WEINGUT DANIEL SIGMUND;PORTUGIESER;2022;rosso;75;Trentino-Alto Adige;Italia;Alto Adige, Valle Isarco;Escluse Bolzano e provincia;SI;in_esaurimento;29,90;NO;;;;SI
CASARETTI-AZIENDA-AGR-RIFERMENTATO-BIANCO-SA-75;CASARETTI AZIENDA AGR.;RIFERMENTATO BIANCO;SA;rifermentato;75;Veneto;Italia;Bardolino;Escluse Verona, Milano, Lecco, Como e province;NO;disponibile;7,90;NO;;;;NO
